Features,gender-value,gender_beta,gender_q-value,r2,f-test_pval,f-test_q-value
89.79_91.054m/z,0.00028872490960405405,3956.659576163968,0.019750231030720662,0.02261610803745495,0.0002887249096041279,0.019750231030725714
217.92_91.054m/z,0.001061818618665759,6867.7357708472855,0.0581217807447851,0.018480752045928694,0.001061818618665897,0.05812178074479265
333.6_91.054m/z,0.3450229630135977,6440.723671233421,1.0,0.0015508895357551067,0.34502296301351754,1.0
125.46_91.0541m/z,1.6909088277605022e-11,2611.070700544211,8.945646494178267e-09,0.07582132268535813,1.6909088277607452e-11,8.945646494179553e-09
69.84_91.0539m/z,0.24652091360423017,1529.5573517450937,1.0,0.002334802263723179,0.24652091360430525,1.0
176.17_91.0539m/z,0.3996710633087026,1728.4560332852789,1.0,0.0012339037495980865,0.39967106330855384,1.0
147.3_91.0539m/z,0.5289909922253894,416.7850389482885,1.0,0.0006896303071939336,0.5289909922251854,1.0
91.67_91.113m/z,0.30177122647097054,32.494891912044345,1.0,0.0018544142277573394,0.3017712264710316,1.0
163.03_92.0492m/z,0.0006045541180027538,1015.7711126252436,0.03635308800289506,0.020265092845281885,0.0006045541180028541,0.03635308800290109
84.09_92.0573m/z,2.5176305311309825e-14,1388.7683901910593,2.3927709735762438e-11,0.09615246414081102,2.5176305311312728e-14,2.3927709735765197e-11
87.35_92.1101m/z,0.34054525038039407,51.21129895899194,1.0,0.0015799119331815215,0.3405452503802472,1.0
166.97_93.033m/z,0.05496130297711385,994.4033722555884,1.0,0.006390730319653426,0.05496130297712137,1.0
57.6_93.0445m/z,0.34442517328200817,-322.0538381377246,1.0,0.001554734674092284,0.3444251732818605,1.0
77.2_93.0445m/z,0.044032099108949764,722.5069404981684,1.0,0.007034025177040326,0.04403209910895691,1.0
117.15_93.0569m/z,0.047409602315014905,-739.3479625043765,1.0,0.006818750342906688,0.0474096023150273,1.0
333.53_93.0696m/z,0.06603210933201989,1865.997779240807,1.0,0.005864368479669535,0.06603210933203227,1.0
144.02_94.0285m/z,0.00028631312311760786,3032.9195491496157,0.01968822659906613,0.022642847237131947,0.0002863131231176494,0.019688226599069453
121.38_94.0648m/z,2.65274963493486e-09,2956.3508431938526,8.765980112477889e-07,0.059796843339827155,2.6527496349352732e-09,8.765980112479255e-07
142.24_95.0126m/z,0.06661196324174964,33907.291868695545,1.0,0.005839441219198549,0.06661196324176248,1.0
215.74_95.049m/z,0.02739947282440544,49350.618727316905,0.7803209250312051,0.008433266575123555,0.02739947282441018,0.78032092503134
234.43_95.0489m/z,0.43472710364367795,-1317.1965050098338,1.0,0.0010615092558218242,0.4347271036434678,1.0
319.24_95.049m/z,0.23474369278847826,-800.5558483186405,1.0,0.0024545707740877276,0.23474369278853063,1.0
264.35_95.0489m/z,0.14255679401986618,1062.7419249512207,1.0,0.003735632836069147,0.14255679401991259,1.0
333.51_95.0489m/z,0.14044974032381982,1242.147574555404,1.0,0.0037753156702448054,0.14044974032385452,1.0
294.54_95.0489m/z,0.1335278547399146,1249.2464495511658,1.0,0.003910525753553329,0.133527854739948,1.0
333.59_95.0852m/z,0.19229025786856052,955.0545630675845,1.0,0.0029546890418429284,0.1922902578685749,1.0
174.59_95.0851m/z,0.14493873104317465,-2733.1530246682014,1.0,0.003691558026121089,0.1449387310432201,1.0
142.22_96.0159m/z,0.05692520264303873,1912.0136373199637,1.0,0.0062895783610223965,0.056925202643050773,1.0
69.35_96.0442m/z,0.37124233265252626,5259.14898457963,1.0,0.001390679669331929,0.3712423326523753,1.0
59.69_96.0441m/z,0.23496744497938926,10359.21430388126,1.0,0.0024522279675410763,0.23496744497945138,1.0
39.08_96.0442m/z,0.8910631075111096,-432.20746312325156,1.0,3.2650108559573177e-05,0.8910631075114954,1.0
182.63_96.0442m/z,4.1348963828878916e-05,5104.090433608593,0.004024914229755996,0.028833584677563917,4.134896382888652e-05,0.004024914229756628
126.96_96.0442m/z,0.01912967770284074,-2120.682254093015,0.586482549381188,0.009509959280667113,0.01912967770284527,0.5864825493813268
215.71_96.0523m/z,0.024974051300416758,3383.039114612794,0.7237209807819571,0.00870976731178097,0.02497405130042167,0.7237209807820995
51.55_96.0521m/z,0.45377136440687094,-1.8614957945698514,1.0,0.0009763970370675334,0.4537713644067797,1.0
165.17_96.0619m/z,0.8456986097431829,0.11925155622809495,1.0,6.59210135396382e-05,0.8456986097435694,1.0
56.99_96.0804m/z,0.12381713414937373,1152.7026144345652,1.0,0.004113981735088035,0.12381713414939137,1.0
39.25_97.0282m/z,0.08374153799863518,-613.8025919591695,1.0,0.005192294933209385,0.08374153799865641,1.0
58.52_97.0281m/z,0.00022935588840073112,634.43352579418,0.016344973499475453,0.02335029074025563,0.0002293558884007607,0.01634497349947756
51.55_97.0363m/z,0.6040971793162428,-5.041211108746434,1.0,0.0004678807568032628,0.60409717931624,1.0
59.77_97.0473m/z,0.2618023523933281,552.3238294837276,1.0,0.002189419547773297,0.2618023523933717,1.0
63.0_97.0758m/z,0.12989453286259006,1188.7010387603625,1.0,0.00398466494543015,0.1298945328626082,1.0
114.83_98.0597m/z,0.25097259798515753,-1303.9668352654,1.0,0.0022913323170976607,0.2509725979852037,1.0
90.01_98.0598m/z,0.30757686034250836,-6163.912725245439,1.0,0.001810459697249689,0.3075768603425783,1.0
81.82_98.0598m/z,0.16399533670662061,580.8024168951251,1.0,0.00336593674781116,0.16399533670662514,1.0
157.0_98.0598m/z,0.006408584176102889,674.9418860564123,0.24138106192574127,0.012852566190576287,0.006408584176104428,0.24138106192580133
