Features,gender_p-value,gender_beta,gender_q-value,age_p-value,age_beta,age_q-value,r2,f-test_pval,f-test_q-value
104.66_434.1402m/z,0.4709157208068244,375.9502906093069,1.0,0.9157701571350463,55.1286434639829,1.0,0.0009533517836464167,0.760527909491389,1.0
127.64_434.143m/z,0.2783969880070353,2569.8492198021636,1.0,0.40237117519392895,1984.6546350748133,1.0,0.0035427019369052015,0.3611142994943665,1.0
399.71_434.1472m/z,5.554479729949369e-05,2198.5861125691367,0.005046769715009596,0.04321262057292531,-1096.6476089483965,1.0,0.032677864463475315,7.226252913267965e-05,0.007266570364909557
184.14_434.1644m/z,0.09979813973355905,8093.705266881831,1.0,0.2878700871259012,-5222.203014194397,1.0,0.0062115885641766955,0.1672466293796716,1.0
176.65_434.1771m/z,0.4594659321258331,4826.579791261502,1.0,0.6825314132859868,-2667.896487535014,1.0,0.0011668739569332676,0.7152748771312947,1.0
184.14_434.2159m/z,0.679813831437847,-2772.7744031775287,1.0,0.20917204712449833,8441.155044428247,1.0,0.0029146028278640435,0.4326992327336694,1.0
280.51_434.2385m/z,0.2981603598357186,3644.7539014422937,1.0,0.1675042012647957,-4836.487023160414,1.0,0.004817587985092464,0.2500763517334029,1.0
334.9_434.2792m/z,0.09638137943446126,-49.076001067450775,1.0,0.7157563765353432,10.734197326482427,1.0,0.0048996690575789925,0.24422599252875746,1.0
250.14_434.2846m/z,0.24125085478731356,-5796.065002663944,1.0,0.4519229630536007,-3718.609931326466,1.0,0.003645523291961772,0.3505762939457412,1.0
373.4_434.3524m/z,0.07596145361382522,1773.575657849318,1.0,0.5428111635644712,-607.3868169988078,1.0,0.005850164415601822,0.1856434035285902,1.0
347.56_435.069m/z,6.749852317637951e-05,4794.664168980944,0.005931884526965472,0.9931628675430377,10.2376612391041,1.0,0.0274953772698322,0.00033489645462919367,0.024788284589723788
166.89_435.0761m/z,0.20713027756612726,857.7815199159928,1.0,0.010118146952854368,-1752.312024498994,1.0,0.01336341639855676,0.021043627801382556,0.6274288466207449
151.16_435.0762m/z,0.35613269418638893,-253.33327789811685,1.0,0.25079359152849806,-315.30580049275835,1.0,0.0040992705697122656,0.30761427322842966,1.0
267.43_435.0798m/z,0.24691109029183247,-4585.206506191911,1.0,0.6971396543534043,-1540.1440886191647,1.0,0.0027431188073537838,0.4545911338173919,1.0
123.25_435.1051m/z,0.00035653107046107913,7444.256443582165,0.022969384716317702,0.05984441019910227,-3907.5899499225125,1.0,0.026223643450302148,0.0004873014976804028,0.032886511056262266
368.56_435.1156m/z,0.19913621105409815,-19226.29917978537,1.0,0.22353564791081967,-18221.567128621853,1.0,0.005913493932406477,0.18228010433337855,1.0
180.46_435.1228m/z,1.4488777478565263e-05,21049.03226015924,0.0016495311799123078,0.78721844333111,-1299.3763705429074,1.0,0.032267833345910435,8.160857023605893e-05,0.008026028718466353
164.34_435.1463m/z,0.03493715935927345,2657.813109605349,0.9287392593697212,0.5184314636183358,-812.2290401830984,1.0,0.008114550845972346,0.09648416153079625,1.0
259.33_435.1824m/z,0.3611187120902426,-1555.1993273367127,1.0,0.1954255330666509,2205.2993524318067,1.0,0.0040571495623946685,0.3113709198449598,1.0
378.57_435.1976m/z,0.0006646048544027668,7951.721432483751,0.03845679753448502,0.1275437479018922,-3545.0725369930187,1.0,0.02261446496153585,0.0014090143136737873,0.07689142143258086
433.38_435.1981m/z,0.00010354386339281835,10334.628262390419,0.008303666985641873,0.13786123802036854,-3927.3154336706125,1.0,0.028201323184517513,0.00027189365673308284,0.020947098766921034
184.13_435.2195m/z,0.16161484828809747,-12629.033047155224,1.0,0.9326957708195076,761.260551575155,1.0,0.0034116382813929036,0.37500563314452906,1.0
280.52_435.2353m/z,0.27717278397216627,1353.9022721723088,1.0,0.16850151330333074,-1715.925481038264,1.0,0.004956471058338741,0.24025745683213187,1.0
322.53_435.2505m/z,0.8040741432484522,440.14636292513774,1.0,0.2629143768700929,1987.0443275083344,1.0,0.002384035717796551,0.5040725111224595,1.0
334.9_435.2829m/z,0.8405787110635311,3.008591014738096,1.0,0.20280527867654954,19.05925041634485,1.0,0.0029864568583194417,0.42384157480108064,1.0
288.72_436.1142m/z,0.3546315045071602,-9722.929979094899,1.0,0.3695401273623513,-9424.012800380226,1.0,0.0031467680736068093,0.40472543358199353,1.0
180.45_436.1253m/z,5.209437108179227e-05,3584.17157818695,0.004773652115431747,0.6479282266361809,-401.61219145278426,1.0,0.02816703306556212,0.0002746610242199328,0.0210997564510816
335.22_436.129m/z,0.8324053840328963,-4391.988931513614,1.0,0.6916252664437957,-8231.444698013154,1.0,0.00037862530268983896,0.8970120002454325,1.0
310.78_436.1292m/z,0.5074964305442051,-18258.136239049385,1.0,0.7988949749346003,7016.816636299575,1.0,0.0008362978015923339,0.7865351324775113,1.0
120.67_436.1848m/z,4.450020098113942e-16,6152.730676469559,5.689449735790604e-13,0.04230768039466653,-1495.9239964930205,1.0,0.11129601530667144,1.964696949223466e-15,2.4823569082334373e-12
334.91_436.1958m/z,0.6888337153544817,2594.433433818328,1.0,0.43259130555400616,-5084.756998634343,1.0,0.0012717340474899252,0.6940439775831195,1.0
150.44_436.2272m/z,3.753818255845623e-05,2055.9582069863286,0.0036254008596803776,0.8270253967333618,-108.16880006507633,1.0,0.029217334619290658,0.0002013806229131611,0.01654739640527513
590.65_436.2338m/z,0.5465504474577136,18817.270954165855,1.0,0.3347954945831956,-30104.489656728452,1.0,0.0021019862088951236,0.5466727250443095,1.0
137.58_437.0091m/z,0.007242546828104476,-4124.4435614584145,0.26233376530322045,0.04533177137977954,3069.3194518134546,1.0,0.01792637737820757,0.005563413733614683,0.22483053594575106
91.86_437.0342m/z,0.8472847866602033,49.18091680535212,1.0,0.05533595457775922,490.06042879008766,1.0,0.006592813121443553,0.1498077954523753,1.0
390.85_437.0812m/z,0.8715091652001653,71.89465273738824,1.0,0.1695801098649795,610.9556760906296,1.0,0.0034147446040989626,0.37467031512943194,1.0
325.25_437.0816m/z,0.39607286456332436,-916.6368179679423,1.0,0.05523601373640141,2072.9474458787954,1.0,0.007218504855417973,0.12502714560264244,1.0
157.11_437.0899m/z,0.5642170941962202,-485.06265527788435,1.0,0.31081749638844386,852.7615383715923,1.0,0.002216534609886134,0.5289552227685794,1.0
229.97_437.1043m/z,0.2452913482792889,2610.1682360939685,1.0,0.6554133318723742,1001.8806930861186,1.0,0.0028617853957774164,0.43932760378015756,1.0
327.29_437.1173m/z,0.7093993234400587,660.5970250597198,1.0,0.7010983665515997,680.311145463176,1.0,0.0005429811160626574,0.8556636575142184,1.0
38.86_437.1263m/z,0.006041921309197068,1327.7612456712818,0.22608968381753558,0.06938567738493545,-876.4444144684115,1.0,0.017385502877106718,0.006515818889925308,0.25446255829119335
401.55_437.1265m/z,0.18412072297180476,-38890.71742445249,1.0,0.6474086752067307,-13381.260352188503,1.0,0.00362873301414679,0.3522759279956368,1.0
335.29_437.1305m/z,0.8458209251737516,-776.0991494346642,1.0,0.680656997869371,-1642.4961718012673,1.0,0.000386435936868601,0.8950026957946522,1.0
250.42_437.141m/z,0.5604294272189415,-7825.270657605971,1.0,0.7956685072655363,3479.6671903041747,1.0,0.000669372155509329,0.8251631671692241,1.0
370.49_437.1501m/z,0.6494027355845196,-2566.6525489629353,1.0,0.09688682731401284,9382.301650975669,1.0,0.004971565426816094,0.23921372270387006,1.0
411.59_437.1502m/z,0.36434422305607006,-6836.768881820276,1.0,0.1550724746472394,10720.185577207478,1.0,0.004610228501421565,0.26548552350617227,1.0
551.93_437.148m/z,0.7205815933120131,-10304.559950398827,1.0,0.4738613081204248,20634.019988202956,1.0,0.0010511288023131726,0.7394618208066928,1.0
146.49_437.1545m/z,4.224343089140146e-05,5918.0406875118015,0.004003188071341409,0.9468643007814548,-95.6012894935949,1.0,0.02893392009801965,0.00021897828417763812,0.01768222799598799
274.65_437.1624m/z,0.015808825061714705,-5903.874140349017,0.4944095846097107,0.018714098687556892,-5750.327331313366,1.0,0.02119378715710507,0.002137754697747491,0.10778686599966489
334.88_437.1989m/z,0.4200628665601225,-6172.227661688059,1.0,0.2931112547470734,-8048.17734028263,1.0,0.003314891321586466,0.38560021714951187,1.0
250.15_437.2349m/z,0.4794460116477317,-12716.608166532895,1.0,0.2695304416481706,-19857.850846583813,1.0,0.003233007111103192,0.3947999130628129,1.0
590.64_437.2365m/z,0.7507922697800512,-4879.801155459677,1.0,0.890717833241085,2110.689901836284,1.0,0.00019770573507715827,0.9448329347222671,1.0
391.0_438.0852m/z,0.6434836346011689,-88.80760314060345,1.0,0.9081176667039775,22.140113578363014,1.0,0.00038406265092572056,0.8956127544911987,1.0
215.68_438.0971m/z,0.13596836263098203,1014.8082492630309,1.0,0.08911980124913357,-1157.2888120708872,1.0,0.008202526681728384,0.09405898738779589,1.0
179.91_438.0961m/z,0.3409844317376536,-5389.167773600905,1.0,0.2542823555294097,6452.139406368727,1.0,0.003553781865476391,0.3599637257058161,1.0
100.49_438.1068m/z,0.9448296359514299,-75.38506228593262,1.0,0.9533740634386185,-63.68615347838303,1.0,1.5561321009216478e-05,0.9955438244661222,1.0
401.48_438.1296m/z,0.18091146142784084,-6045.960190884775,1.0,0.6083946444935888,-2313.4112662019193,1.0,0.003789412863530517,0.3363418175167778,1.0
